epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.347,2.75981,5.49633,3.14291,0.47957,0.11456,0.05834,0.02102,2.29653,3.45529,2.71631,0.0033278,0.0033278,0.0033278
2,823.074,2.01712,3.3521,2.42573,0.30409,0.20514,0.17164,0.07695,1.97815,2.66003,2.33585,0.00665454,0.00665454,0.00665454
3,1223.24,1.7809,2.7336,2.15051,0.34096,0.32843,0.25203,0.11681,1.82798,2.31928,2.15463,0.00997467,0.00997467,0.00997467
4,1621.08,1.66357,2.46273,2.03904,0.40032,0.35362,0.30717,0.14934,1.73452,2.1651,2.07233,0.0099703,0.0099703,0.0099703
5,2020.72,1.57513,2.25006,1.94938,0.35665,0.37214,0.33145,0.16371,1.69615,2.05225,2.00851,0.0099604,0.0099604,0.0099604
6,2419.24,1.56864,2.16399,1.91288,0.47338,0.39539,0.38506,0.20101,1.66444,1.99245,2.0011,0.0099505,0.0099505,0.0099505
7,2819.63,1.51267,2.07949,1.87758,0.47084,0.40905,0.39859,0.20017,1.62359,1.89572,1.9259,0.0099406,0.0099406,0.0099406
8,3218.21,1.50249,2.04424,1.86405,0.43505,0.40695,0.39412,0.21146,1.64616,1.8866,1.96651,0.0099307,0.0099307,0.0099307
9,3616.34,1.45716,1.941,1.81936,0.48145,0.41399,0.4087,0.21107,1.67169,1.90062,1.97533,0.0099208,0.0099208,0.0099208
10,4018.45,1.45268,1.92932,1.82333,0.48508,0.42098,0.41213,0.22212,1.59103,1.90692,1.92247,0.0099109,0.0099109,0.0099109
11,4417.78,1.42501,1.8909,1.80954,0.51816,0.40901,0.43062,0.23183,1.57058,1.78349,1.89182,0.009901,0.009901,0.009901
12,4812.68,1.41115,1.82185,1.78998,0.51354,0.4583,0.46047,0.23429,1.61117,1.80442,1.93131,0.0098911,0.0098911,0.0098911
13,5208.71,1.39819,1.82044,1.77897,0.4924,0.44758,0.43966,0.23413,1.57851,1.79665,1.90152,0.0098812,0.0098812,0.0098812
14,5604.72,1.39134,1.7716,1.76983,0.53455,0.43753,0.46391,0.24746,1.55092,1.76012,1.88808,0.0098713,0.0098713,0.0098713
15,6000.41,1.36745,1.71004,1.74624,0.49672,0.46137,0.4566,0.24635,1.5286,1.76568,1.88915,0.0098614,0.0098614,0.0098614
16,6397.92,1.35666,1.71338,1.74078,0.4879,0.47461,0.45671,0.23968,1.57774,1.73074,1.91553,0.0098515,0.0098515,0.0098515
17,6795.51,1.36134,1.69379,1.73286,0.49031,0.46119,0.45269,0.24882,1.5396,1.737,1.88402,0.0098416,0.0098416,0.0098416
18,7194.22,1.33071,1.63504,1.70798,0.48822,0.476,0.4714,0.25506,1.59117,1.7396,1.9125,0.0098317,0.0098317,0.0098317
19,7593.73,1.32335,1.62011,1.71536,0.5249,0.51891,0.49176,0.27184,1.53532,1.66149,1.85317,0.0098218,0.0098218,0.0098218
20,7995.76,1.30058,1.60287,1.68649,0.54731,0.4595,0.4848,0.25919,1.57075,1.69045,1.90165,0.0098119,0.0098119,0.0098119
21,8395.03,1.30297,1.5702,1.68186,0.56,0.45207,0.48415,0.26469,1.57292,1.73874,1.87828,0.009802,0.009802,0.009802
22,8791.96,1.28728,1.55726,1.67357,0.55284,0.49379,0.49896,0.27007,1.58688,1.63192,1.89128,0.0097921,0.0097921,0.0097921
23,9189.66,1.27607,1.51225,1.66061,0.50534,0.48546,0.47521,0.25529,1.56918,1.69605,1.885,0.0097822,0.0097822,0.0097822
24,9589.27,1.27435,1.48742,1.65539,0.49558,0.51153,0.488,0.26726,1.58863,1.66576,1.90887,0.0097723,0.0097723,0.0097723
25,9987.55,1.26318,1.48361,1.63416,0.52507,0.48943,0.47385,0.25597,1.56433,1.69507,1.87641,0.0097624,0.0097624,0.0097624
26,10389.2,1.23851,1.45779,1.63059,0.51073,0.47205,0.48302,0.25981,1.5722,1.69493,1.89123,0.0097525,0.0097525,0.0097525
27,10789.5,1.23674,1.43106,1.62728,0.51663,0.50794,0.49129,0.26622,1.59289,1.6417,1.92585,0.0097426,0.0097426,0.0097426
28,11186.2,1.23378,1.42731,1.61389,0.51815,0.49061,0.47882,0.25649,1.6089,1.65461,1.94157,0.0097327,0.0097327,0.0097327
29,11585.2,1.21242,1.3763,1.58678,0.53488,0.46874,0.48627,0.25502,1.6077,1.71145,1.9349,0.0097228,0.0097228,0.0097228
30,11985.9,1.20456,1.37787,1.59859,0.56777,0.46744,0.49311,0.25652,1.58017,1.69767,1.91154,0.0097129,0.0097129,0.0097129
31,12387.3,1.19929,1.35294,1.58604,0.59268,0.47712,0.50522,0.27031,1.56864,1.65863,1.92132,0.009703,0.009703,0.009703
32,12788.9,1.20548,1.33617,1.58057,0.5901,0.44506,0.4934,0.27144,1.56891,1.74093,1.88855,0.0096931,0.0096931,0.0096931
33,13188.3,1.18776,1.30189,1.5664,0.56111,0.49761,0.50463,0.27404,1.56991,1.67501,1.89753,0.0096832,0.0096832,0.0096832
34,13585.6,1.18625,1.31092,1.57183,0.54013,0.51188,0.51049,0.27892,1.5943,1.65138,1.9394,0.0096733,0.0096733,0.0096733
35,13984.2,1.16134,1.27784,1.56622,0.54919,0.49281,0.49931,0.27135,1.58619,1.67315,1.91612,0.0096634,0.0096634,0.0096634
36,14381,1.17465,1.28322,1.56305,0.52592,0.49567,0.49842,0.27709,1.57626,1.62498,1.92139,0.0096535,0.0096535,0.0096535
37,14779.9,1.14284,1.26636,1.54184,0.52988,0.4577,0.47148,0.2562,1.58371,1.68366,1.93663,0.0096436,0.0096436,0.0096436
38,15179.9,1.13006,1.22928,1.53746,0.55126,0.46787,0.47996,0.25291,1.62475,1.69189,1.96386,0.0096337,0.0096337,0.0096337
39,15578.6,1.12993,1.21378,1.51945,0.52769,0.48513,0.48536,0.26663,1.59078,1.70562,1.9295,0.0096238,0.0096238,0.0096238
40,15977.5,1.13801,1.22829,1.52238,0.49415,0.51898,0.50734,0.27497,1.58615,1.65539,1.94577,0.0096139,0.0096139,0.0096139
41,16371.8,1.12871,1.20806,1.51697,0.53908,0.49561,0.49355,0.26813,1.57216,1.6843,1.91401,0.009604,0.009604,0.009604
42,16769.2,1.13161,1.19399,1.51824,0.55838,0.48716,0.48853,0.273,1.56849,1.66145,1.93305,0.0095941,0.0095941,0.0095941
43,17166.4,1.10577,1.17103,1.49483,0.51908,0.50238,0.48029,0.25728,1.57302,1.71533,1.94762,0.0095842,0.0095842,0.0095842
44,17563,1.10284,1.15295,1.49379,0.55794,0.49304,0.49682,0.27229,1.56287,1.66619,1.91866,0.0095743,0.0095743,0.0095743
45,17958.6,1.08703,1.14811,1.49665,0.52162,0.4754,0.4808,0.26363,1.56836,1.73739,1.94266,0.0095644,0.0095644,0.0095644
46,18353.8,1.09213,1.13973,1.48444,0.5698,0.4579,0.47862,0.26215,1.60642,1.75008,1.95261,0.0095545,0.0095545,0.0095545
47,18750.7,1.08348,1.10164,1.46761,0.57434,0.47503,0.49099,0.2695,1.59857,1.71652,1.97801,0.0095446,0.0095446,0.0095446
48,19147.3,1.06371,1.08729,1.46353,0.57993,0.44472,0.47296,0.25978,1.62537,1.7764,1.97134,0.0095347,0.0095347,0.0095347
49,19543.4,1.06226,1.13337,1.46278,0.52234,0.48171,0.45867,0.24629,1.61826,1.7701,1.97801,0.0095248,0.0095248,0.0095248
